age,gender,paid_contribution_1,paid_contribution_2,paid_contribution_3,paid_contribution_4,paid_contribution_5,is_spouse,is_absent,capital_resources,patient_type,distance_to_hospital,Label
92,m,yes,yes,yes,yes,yes,1,0,876,out,82,1
88,m,yes,yes,yes,yes,yes,1,0,1604,out,72,1
88,f,yes,yes,yes,yes,yes,1,0,1380,out,93,1
85,m,yes,yes,yes,yes,yes,1,0,826,in,5,1
70,f,yes,yes,yes,no,yes,1,0,81,out,99,1
85,f,yes,yes,yes,yes,yes,1,0,609,out,53,1
63,f,yes,yes,yes,yes,no,1,0,987,in,29,1
71,f,yes,yes,yes,yes,no,1,0,1201,out,76,1
81,m,yes,yes,no,yes,yes,1,0,633,in,48,1
73,m,yes,yes,yes,yes,yes,1,0,164,out,65,1
92,f,yes,yes,yes,yes,yes,1,0,2592,in,37,1
78,m,no,yes,yes,yes,yes,1,0,2435,in,21,1
87,m,no,yes,yes,yes,yes,1,0,2297,in,45,1
98,f,no,yes,yes,yes,yes,1,0,47,out,66,1
80,f,yes,no,yes,yes,yes,1,0,703,out,94,1
68,m,no,yes,yes,yes,yes,1,0,1449,in,30,1
76,f,no,yes,yes,yes,yes,1,0,2564,in,42,1
77,m,yes,yes,no,yes,yes,1,0,866,out,78,1
98,m,no,yes,yes,yes,yes,1,0,165,out,84,1
63,f,yes,yes,yes,no,yes,1,0,1234,in,36,1
96,m,yes,yes,yes,yes,yes,1,0,2068,out,97,1
95,f,no,yes,yes,yes,yes,1,0,2195,out,100,1
74,f,yes,yes,yes,yes,yes,1,0,1307,in,17,1
92,f,yes,yes,yes,yes,yes,1,0,1249,out,99,1
62,f,yes,yes,yes,yes,yes,1,0,2494,in,36,1
100,f,no,yes,yes,yes,yes,1,0,1918,out,56,1
100,f,yes,yes,yes,yes,yes,1,0,2973,in,18,1
89,f,yes,yes,yes,yes,yes,1,0,2713,out,50,1
100,m,yes,yes,yes,yes,yes,1,0,1939,out,66,1
86,m,yes,yes,yes,yes,no,1,0,1932,in,49,1
87,f,yes,yes,yes,yes,yes,1,0,2258,out,92,1
61,f,yes,yes,yes,yes,no,1,0,1022,in,14,1
87,f,yes,yes,yes,yes,no,1,0,980,in,31,1
75,f,yes,yes,yes,no,yes,1,0,1762,in,48,1
66,f,yes,yes,yes,yes,yes,1,0,2512,out,51,1
93,m,yes,no,yes,yes,yes,1,0,221,out,65,1
75,f,yes,yes,yes,yes,yes,1,0,973,out,80,1
68,f,yes,yes,yes,yes,yes,1,0,529,in,36,1
61,f,yes,no,yes,yes,yes,1,0,569,out,72,1
60,f,yes,yes,yes,yes,yes,1,0,452,in,1,1
62,f,yes,yes,yes,yes,yes,1,0,2049,out,56,1
65,f,yes,yes,no,yes,yes,1,0,1480,out,91,1
92,f,yes,yes,no,yes,yes,1,0,2597,in,47,1
