age,gender,paid_contribution_1,paid_contribution_2,paid_contribution_3,paid_contribution_4,paid_contribution_5,is_spouse,is_absent,capital_resources,patient_type,distance_to_hospital,Label
67,m,yes,yes,yes,yes,yes,1,0,419,out,52,1
76,m,yes,yes,yes,no,yes,1,0,2927,in,19,1
89,m,no,yes,yes,yes,yes,1,0,1806,out,64,1
70,m,yes,no,yes,yes,yes,1,0,174,in,47,1
79,f,yes,yes,yes,yes,yes,1,0,2271,out,56,1
80,m,yes,yes,no,yes,yes,1,0,2340,out,54,1
99,m,yes,yes,yes,yes,yes,1,0,2071,out,58,1
85,f,yes,yes,yes,yes,yes,1,0,2197,out,91,1
66,f,yes,yes,yes,yes,yes,1,0,1277,in,37,1
73,m,yes,yes,yes,yes,yes,1,0,1492,in,38,1
78,f,yes,yes,yes,yes,yes,1,0,1976,in,31,1
95,f,yes,yes,yes,yes,no,1,0,1660,in,47,1
78,m,yes,yes,yes,yes,yes,1,0,2434,out,54,1
66,f,yes,yes,yes,yes,yes,1,0,1995,in,40,1
97,f,yes,yes,yes,yes,yes,1,0,1602,out,72,1
60,f,yes,yes,yes,no,yes,1,0,461,out,50,1
81,m,no,yes,yes,yes,yes,1,0,2072,out,57,1
68,f,yes,yes,yes,yes,yes,1,0,1392,out,66,1
88,f,yes,yes,yes,yes,yes,1,0,2206,in,26,1
71,m,yes,yes,no,yes,yes,1,0,2686,out,100,1
89,m,yes,yes,yes,no,yes,1,0,642,in,33,1
87,m,no,yes,yes,yes,yes,1,0,1699,in,20,1
75,f,yes,yes,yes,yes,yes,1,0,1882,in,22,1
83,m,yes,yes,yes,yes,no,1,0,2123,out,56,1
70,m,yes,yes,yes,yes,yes,1,0,585,in,45,1
88,f,yes,no,yes,yes,yes,1,0,2406,in,16,1
75,m,yes,yes,yes,yes,yes,1,0,219,out,56,1
77,f,yes,yes,yes,yes,yes,1,0,2762,in,38,1
97,m,yes,yes,yes,yes,no,1,0,551,in,7,1
